director_name,actor_1_name,actor_2_name,actor_3_name,Genres,movie_title,comb
Roseanne Liang, Chloë Grace Moretz,Taylor John Smith,Beulah Koale,Horror Action War,shadow in the cloud, Chloë Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
Ramin Bahrani, Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Crime Drama,the white tiger, Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Ramin Bahrani Crime Drama
Doug Liman, Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,Comedy Crime Drama,locked down, Anne Hathaway Chiwetel Ejiofor Stephen Merchant Doug Liman Comedy Crime Drama
Simon Stone, Carey Mulligan,Ralph Fiennes,Lily James,Drama History,the dig, Carey Mulligan Ralph Fiennes Lily James Simon Stone Drama History
Mikael Håfström, Anthony Mackie,Damson Idris,Emily Beecham,Thriller Action Science Fiction,outside the wire, Anthony Mackie Damson Idris Emily Beecham Mikael Håfström Thriller Action Science Fiction
, Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Action Thriller Crime,the marksman,
Nate Parker, Nate Parker,Omari Hardwick,Theo Rossi,Drama,american skin, Nate Parker Omari Hardwick Theo Rossi Nate Parker Drama
Alex McAulay, Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Drama Thriller Crime,don't tell a soul, Jack Dylan Grazer Fionn Whitehead Rainn Wilson Alex McAulay Drama Thriller Crime
Gabriela Cowperthwaite, Jason Segel,Dakota Johnson,Casey Affleck,Drama Comedy Romance,our friend, Jason Segel Dakota Johnson Casey Affleck Gabriela Cowperthwaite Drama Comedy Romance
Conor Allyn, Jake Allyn,Frank Grillo,Jorge A. Jiménez,Drama Action History,no man's land, Jake Allyn Frank Grillo Jorge A. Jiménez Conor Allyn Drama Action History
Alex Ranarivelo, Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Action Drama,born a champion, Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
Mike P. Nelson, Charlotte Vega,Adain Bradley,Bill Sage,Horror Thriller,wrong turn, Charlotte Vega Adain Bradley Bill Sage Mike P. Nelson Horror Thriller
Glenda Ivin, Naomi Watts,Andrew Lincoln,Jacki Weaver,Drama,penguin bloom, Naomi Watts Andrew Lincoln Jacki Weaver Glenda Ivin Drama
John Lee Hancock, Denzel Washington,Rami Malek,Jared Leto,Thriller Crime Drama,the little things, Denzel Washington Rami Malek Jared Leto John Lee Hancock Thriller Crime Drama
Jude Weng, Kea Peahu,Alex Aiono,Lindsay Watson,Action Adventure Comedy Family,finding 'ohana, Kea Peahu Alex Aiono Lindsay Watson Jude Weng Action Adventure Comedy Family
Chloé Zhao, Frances McDormand,David Strathairn,Linda May,Drama,nomadland, Frances McDormand David Strathairn Linda May Chloé Zhao Drama
Sam Levinson, Zendaya,John David Washington,unknown,Romance Drama,malcolm & marie, Zendaya John David Washington unknown Sam Levinson Romance Drama
Fisher Stevens, Justin Timberlake,Juno Temple,Alisha Wainwright,Drama,palmer, Justin Timberlake Juno Temple Alisha Wainwright Fisher Stevens Drama
Viggo Mortensen, Viggo Mortensen,Lance Henriksen,Terry Chen,Crime Drama Thriller,falling, Viggo Mortensen Lance Henriksen Terry Chen Viggo Mortensen Crime Drama Thriller
Mike Cahill, Owen Wilson,Salma Hayek,unknown,Science Fiction Romance Drama,bliss, Owen Wilson Salma Hayek unknown Mike Cahill Science Fiction Romance Drama
Chad Hartigan, Olivia Cooke,Jack O'Connell,Raúl Castillo,Romance Science Fiction Drama,little fish, Olivia Cooke Jack O'Connell Raúl Castillo Chad Hartigan Romance Science Fiction Drama
Barry Alexander Brown, Lucas Till,Lucy Hale,Cedric the Entertainer,History Drama,son of the south, Lucas Till Lucy Hale Cedric the Entertainer Barry Alexander Brown History Drama
Ben Hozie, Julia Fox,Nikki Belfiglio,Austin Brown,Drama,pvt chat, Julia Fox Nikki Belfiglio Austin Brown Ben Hozie Drama
Sia, Kate Hudson,Leslie Odom Jr.,Maddie Ziegler,Music Drama,music, Kate Hudson Leslie Odom Jr. Maddie Ziegler Sia Music Drama
Shaka King, Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons,Drama History,judas and the black messiah, Daniel Kaluuya Lakeith Stanfield Jesse Plemons Shaka King Drama History
Kevin Macdonald, Jodie Foster,Tahar Rahim,Shailene Woodley,Drama Thriller,the mauritanian, Jodie Foster Tahar Rahim Shailene Woodley Kevin Macdonald Drama Thriller
Tate Taylor, Allison Janney,Mila Kunis,Awkwafina,Comedy Drama Crime Thriller,breaking news in yuba county, Allison Janney Mila Kunis Awkwafina Tate Taylor Comedy Drama Crime Thriller
Josh Greenbaum, Kristen Wiig,Annie Mumolo,Jamie Dornan,Comedy,barb and star go to vista del mar, Kristen Wiig Annie Mumolo Jamie Dornan Josh Greenbaum Comedy
Lee Isaac Chung, Steven Yeun,Han Ye-ri,Alan Kim,Drama,minari, Steven Yeun Han Ye-ri Alan Kim Lee Isaac Chung Drama
Michael Fimognari, Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy Drama,to all the boys: always and forever, Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy Drama
Mona Fastvold, Katherine Waterston,Vanessa Kirby,Christopher Abbott,Romance Drama Western,the world to come, Katherine Waterston Vanessa Kirby Christopher Abbott Mona Fastvold Romance Drama Western
Azazel Jacobs, Michelle Pfeiffer,Lucas Hedges,Tracy Letts,Comedy Drama,french exit, Michelle Pfeiffer Lucas Hedges Tracy Letts Azazel Jacobs Comedy Drama
Robin Wright, Robin Wright,Demián Bichir,Kim Dickens,Drama,land, Robin Wright Demián Bichir Kim Dickens Robin Wright Drama
Kevin Lewis, Nicolas Cage,Emily Tosta,Ric Reitz,Action Horror Comedy,willy's wonderland, Nicolas Cage Emily Tosta Ric Reitz Kevin Lewis Action Horror Comedy
Ian Samuels, Kathryn Newton,Kyle Allen,Al Madrigal,Fantasy Romance,the map of tiny perfect things, Kathryn Newton Kyle Allen Al Madrigal Ian Samuels Fantasy Romance
Castille Landon, Katherine Heigl,Madison Iseman,Israel Broussard,Thriller Horror Drama,fear of rain, Katherine Heigl Madison Iseman Israel Broussard Castille Landon Thriller Horror Drama
J Blakeson, Rosamund Pike,Peter Dinklage,Eiza González,Comedy Crime Thriller,i care a lot, Rosamund Pike Peter Dinklage Eiza González J Blakeson Comedy Crime Thriller
Lena Khan, Matilda Lawler,Alyson Hannigan,Ben Schwartz,Family Adventure Comedy Fantasy,flora & ulysses, Matilda Lawler Alyson Hannigan Ben Schwartz Lena Khan Family Adventure Comedy Fantasy
Tiller Russell, Jason Clarke,Nick Robinson,Katie Aselton,Crime Thriller Drama,silk road, Jason Clarke Nick Robinson Katie Aselton Tiller Russell Crime Thriller Drama
Tim Story, Chloë Grace Moretz,Michael Peña,Colin Jost,Comedy Family Animation,tom & jerry, Chloë Grace Moretz Michael Peña Colin Jost Tim Story Comedy Family Animation
Lee Daniels, Andra Day,Trevante Rhodes,Garrett Hedlund,Music Drama History,the united states vs. billie holiday, Andra Day Trevante Rhodes Garrett Hedlund Lee Daniels Music Drama History
Anthony and Joe Russo, Tom Holland,Ciara Bravo,Jack Reynor,Crime Drama,cherry, Tom Holland Ciara Bravo Jack Reynor Anthony and Joe Russo Crime Drama
Nicholas Jarecki, Gary Oldman,Armie Hammer,Evangeline Lilly,Thriller Crime Drama,crisis, Gary Oldman Armie Hammer Evangeline Lilly Nicholas Jarecki Thriller Crime Drama
R. J. Cutler, Billie Eilish,Finneas O'Connell,Maggie Baird,Documentary Music,billie eilish: the world's a little blurry, Billie Eilish Finneas O'Connell Maggie Baird R. J. Cutler Documentary Music
Keith Thomas, Dave Davis,Menashe Lustig,Malky Goldman,Horror Thriller Mystery,the vigil, Dave Davis Menashe Lustig Malky Goldman Keith Thomas Horror Thriller Mystery
Amy Poehler, Hadley Robinson,Lauren Tsai,Patrick Schwarzenegger,Comedy Drama Music,moxie, Hadley Robinson Lauren Tsai Patrick Schwarzenegger Amy Poehler Comedy Drama Music
Craig Brewer, Eddie Murphy,Arsenio Hall,Jermaine Fowler,Comedy,coming 2 america, Eddie Murphy Arsenio Hall Jermaine Fowler Craig Brewer Comedy
Tim Hill, Tom Kenny,Awkwafina,Matt Berry,Family Animation Fantasy Adventure Comedy,the spongebob movie: sponge on the run, Tom Kenny Awkwafina Matt Berry Tim Hill Family Animation Fantasy Adventure Comedy
"Don Hall, Carlos López Estrada", Kelly Marie Tran,Awkwafina,Izaac Wang,Family Fantasy Animation Action Adventure,raya and the last dragon," Kelly Marie Tran Awkwafina Izaac Wang Don Hall, Carlos López Estrada Family Fantasy Animation Action Adventure"
Doug Liman, Daisy Ridley,Tom Holland,Mads Mikkelsen,Science Fiction,chaos walking, Daisy Ridley Tom Holland Mads Mikkelsen Doug Liman Science Fiction
Joe Carnahan, Frank Grillo,Mel Gibson,Naomi Watts,Action Science Fiction Thriller,boss level, Frank Grillo Mel Gibson Naomi Watts Joe Carnahan Action Science Fiction Thriller
Eddie Huang, Taylor Takahashi,Taylour Paige,Jorge Lendeborg Jr.,Drama Comedy,boogie, Taylor Takahashi Taylour Paige Jorge Lendeborg Jr. Eddie Huang Drama Comedy
Miguel Arteta, Jennifer Garner,Édgar Ramírez,Jenna Ortega,Comedy Family,yes day, Jennifer Garner Édgar Ramírez Jenna Ortega Miguel Arteta Comedy Family
Steve Basilone, Finn Wittrock,Zoë Chao,Casey Wilson,Romance Comedy,long weekend, Finn Wittrock Zoë Chao Casey Wilson Steve Basilone Romance Comedy
Edward Drake, Bruce Willis,Frank Grillo,Brandon Thomas Lee,Science Fiction,cosmic sin, Bruce Willis Frank Grillo Brandon Thomas Lee Edward Drake Science Fiction
